,user_id,account_id,deal_count,total_reading_count
682,18456006,101126119,571,24
683,39306784,121979495,123,34
684,39704606,122139146,574,2829
685,1272123,,0,67
686,12141630,,0,95
687,30074553,,0,173
688,9189847,,0,15
689,12229214,,0,709
690,32404275,,0,355
691,2237003,,0,223
692,20747390,,0,3066
693,34057758,,0,24
694,38572566,,0,15
695,19414166,,0,22
696,11613150,,0,44
697,11011311,,0,28
698,9063485,,0,131
699,35062485,,0,110
700,27835783,121876750,218,47
701,39979301,122240236,467,1038
702,34212333,120609305,684,31
703,34212333,120322632,123,31
704,31655875,141909927,55,37
705,38719463,100953056,140,923
706,40086841,122287244,8,45
707,16483851,122021647,18,18
708,38675365,122339970,66,248
709,13457537,,0,44
710,10424316,,0,43
711,3393662,101172893,90,296
712,40164094,122307486,14,26
713,39890534,,0,71
714,19664918,101170320,96,113
715,38726828,,0,93
716,39708754,122140826,22,20
717,37600235,121278871,8,27
718,17004372,,0,17
719,7349996,142049948,48,81
720,38157850,121478147,12,15
721,37418207,121211291,56,560
722,178890,121924583,600,403
723,178890,122075325,8,403
724,7919969,121206616,194,39
725,37644422,121295263,427,246
726,26225454,,0,33
727,37703623,,0,43
728,40098595,,0,67
729,9015035,,0,22
730,135015,,0,95
731,13578150,,0,69
732,20026034,,0,184
733,39943295,101113911,14,160
734,37525493,,0,62
735,35433606,121836769,804,30
736,35433606,121941914,193,30
737,38065960,121443784,184,293
738,34606670,120385040,44,126
739,34329366,141816703,32,33
740,38974161,101152731,198,24
741,37662770,141201227,78,198
742,34781154,,0,47
743,20767453,,0,15
744,22932497,120777766,30,111
745,38557417,,0,20
746,38924089,,0,113
747,23136598,121406897,37,23
748,35410585,121265718,34,41
749,22506436,122391952,8,19
750,2482442,,0,55
751,28460710,101059042,32,17
752,39600969,101069638,1338,137
753,965510,100993496,334,69
754,37844057,100832391,964,194
755,11924924,121710076,479,91
756,37125677,,0,21
757,32154409,,0,386
758,1195909,,0,48
759,6147989,,0,20
760,2443318,,0,103
761,22548549,101188367,8,248
762,5968295,,0,175
763,34492064,,0,22
764,39919267,,0,170
765,12386619,,0,32
766,7418380,,0,61
767,1005072,,0,28
768,18709935,,0,442
769,25110638,,0,115
770,415774,,0,61
771,23019228,100286099,97,47
772,38954256,121837333,130,40
773,38641120,121686175,124,34
774,31598789,121058175,46,176
775,31598789,120962265,18,176
776,31598789,121393002,514,176
777,36756503,141805284,80,78
778,14816845,100621601,111,205
779,40362938,101176986,52,100
780,40230688,122333865,214,54
781,31395026,,0,356
782,14090634,,0,44
783,26409491,,0,22
784,40251693,122341917,76,92
785,10279227,122424007,38,64
786,40256838,,0,104
787,33796223,,0,21
788,38485690,141508660,262,151
789,39403224,141822564,20,25
790,4315047,101125352,22,24
791,40454487,122418009,456,519
792,33267481,,0,27
793,39102097,101064208,272,280
794,39102097,101132764,374,280
795,38863090,101102258,111,299
796,36334470,120865806,214,5334
797,39840847,122189017,1526,230
798,39092176,,0,49
799,6555478,,0,156
800,20327171,,0,31
801,15684877,,0,49
802,9240648,,0,21
803,37263667,,0,69
804,36227700,,0,17
805,14628926,,0,21
806,20907065,,0,548
807,14850266,,0,373
808,38349594,,0,456
809,12952444,,0,17
810,37889081,,0,15
811,34014803,141350522,143,697
812,27404086,,0,185
813,18434638,,0,301
814,40097202,101135645,66,444
815,38755952,100957440,14,18
816,37653002,100803870,90,119
817,15816481,122238487,56,129
818,15373825,122197625,74,235
819,29778888,121714805,131,32
820,4388394,,0,225
821,20436791,,0,49
822,37195579,,0,20
823,23558862,,0,37
824,40089656,,0,19
825,27925972,,0,55
826,23092898,,0,1016
827,32681792,100963161,474,515
828,24322214,100527833,2160,137
829,40422794,101186132,30,28
830,12172956,101036565,87,84
831,40227445,122332252,64,80
832,6743421,,0,29
833,21537578,,0,82
834,39037058,,0,18
835,39477439,101052581,46,130
836,40165681,101147158,237,225
837,28866506,101138001,36,21
838,40179325,122313530,38,23
839,27399527,,0,131
840,38337903,,0,713
841,38262584,121519213,4,46
842,39607748,141894289,31,56
843,2420910,,0,39
844,33929279,,0,15
845,12438492,120116576,26,15
846,3514363,,0,58
847,13596063,,0,22
848,39512823,101056878,34,36
849,33643475,,0,18
850,14737374,,0,108
851,20239005,,0,39
852,2538100,,0,100
853,32782807,,0,206
854,426275,,0,87
855,36477197,,0,78
856,29869970,,0,17
857,30413708,,0,93
858,20635821,,0,206
859,36824581,,0,25
860,37003060,121054413,28,36
861,33847202,100138837,8,500
862,33847202,100146365,163,500
863,35361260,100374354,634,303
864,38997604,100992625,172,85
865,33443764,140119512,401,85
866,871612,,0,72
867,39997120,142022197,85,20
868,35833075,,0,40
869,39433586,101046538,98,224
870,39787074,122169471,90,60
871,28653879,101122972,514,271
872,28653879,100874287,282,271
873,35736753,120701234,45,17
874,9722769,121709213,50,20
875,40045593,101127818,8,62
876,2435140,,0,68
877,14649272,120282950,14,17
878,38242468,,0,15
879,35819694,140545544,20,51
880,40183659,,0,26
881,40199202,101152492,19,98
882,40156659,122304764,44,29
883,29223029,,0,15
884,39560457,122082086,384,54
885,37249441,141058953,43,27
886,39970154,142013663,690,93
887,6895369,,0,220
888,31069512,,0,277
889,9873089,,0,24
890,34505597,,0,25
891,26756393,,0,49
892,37425058,,0,28
893,10686606,,0,20
894,37926909,,0,27
895,32486069,,0,342
896,14097091,,0,71
897,13141208,,0,665
898,26529657,,0,41
899,34664876,,0,33
900,172657,,0,38
901,506133,,0,434
902,683756,,0,154
903,1131087,,0,20
904,1086574,,0,48
905,37116522,,0,487
906,40045663,122264619,475,629
907,39100716,121900863,126,18
908,38804072,121774730,250,159
909,8946463,120457484,93,19
910,38214686,121501284,95,34
911,34859541,140647239,44,18
912,39672684,122126813,144,532
913,40193990,122319072,300,41
914,33217036,,0,184
915,9369196,,0,23
916,39834131,101097626,894,139
917,38797777,122213147,128,17
918,1613358,,0,80
919,40098717,142059287,38,24
920,7906267,,0,72
921,37698166,121314111,24,207
922,40535057,122443067,16,41
923,27372986,120137949,5,304
924,38317635,122087125,539,36
925,38317635,121659536,83,36
926,38317635,121541333,252,36
927,38317635,121920821,197,36
928,38853996,121796748,1161,42
929,38483586,141539261,3126,13710
930,24279382,,0,31
931,4751925,,0,41
932,18646283,121925635,8,38
933,7816595,,0,400
934,39563113,,0,66
935,39951906,,0,2043
936,36230491,,0,5451
937,3504078,,0,168
938,25358685,,0,305
939,1939077,,0,39
940,12642256,,0,15
941,15987157,,0,19
942,13271656,121902246,78,100
943,39381759,122010315,47,28
944,37418209,121305310,41,70
945,38497839,121619872,150,18
946,40084502,142053734,68,126
947,39729478,101081174,200,807
948,33692876,100662390,518,1007
949,40257086,101161205,818,288
950,12536411,101174013,5,15
951,30244712,101176662,222,83
952,37773781,121352831,87,63
953,40309802,142131462,5,34
954,39762066,101085834,76,213
955,38465581,121604227,112,17
956,27183258,,0,28
957,39917164,,0,47
958,35727915,100649413,68,59
959,40096250,101135486,10,22
960,39828761,,0,1076
961,35286409,100355220,618,52
962,35990535,120953506,1412,236
963,38877214,,0,124
964,9996397,,0,208
965,20401877,,0,36
966,40012454,,0,56
967,22700302,,0,18
968,2142660,,0,1721
969,6778790,,0,15
970,1581262,,0,18
971,35338474,,0,600
972,32177617,,0,38
973,17882713,,0,116
974,15999614,,0,165
975,6422775,,0,43
976,40111524,122287449,12,23
977,13728680,101085622,427,43
978,11652720,101028641,112,402
979,10439605,121709655,37,35
980,40129926,142071072,131,33
981,39672398,,0,162
982,34724431,,0,87
983,9070826,,0,62
984,29042675,122283092,74,83
985,29582412,120072335,142,130
986,8144629,121708515,29,63
987,37565444,,0,272
988,40225990,122331531,78,64
989,33476475,,0,26
990,40360450,142204965,37,23
991,2861576,122364835,6,23
992,38087268,100868572,945,28
993,37116133,100728571,1189,31
994,36861456,121379573,233,3586
995,14566466,121863697,202,672
996,33521225,140183585,184,139
997,20824313,,0,24
998,40070776,,0,36
999,30362938,,0,51
1000,2513387,,0,296
1001,13386157,,0,22
1002,36097738,,0,36
1003,19873831,,0,144
1004,4462211,,0,176
1005,4169261,,0,217
1006,36247647,,0,15
1007,20812517,,0,980
1008,19778342,,0,15
1009,39912423,141994329,2,15
1010,4037065,,0,92
1011,28613177,,0,21
1012,39693820,,0,54
1013,38369352,,0,26
1014,38294324,100900351,1884,38
1015,39437431,101062588,78,18
1016,39831797,122185401,61,34
1017,40293659,101167489,78,1075
1018,40332333,101172900,176,59
1019,29411094,121714684,156,3468
1020,40180757,122314185,24,141
1021,40148262,101151108,52,75
1022,40199972,122321721,131,28
1023,35815447,120774839,365,391
1024,33561061,122394872,596,457
1025,36865095,101018106,148,996
1026,30807544,,0,24
1027,40259792,,0,20
1028,10010534,,0,224
1029,39768335,122162742,625,220
1030,36083830,120800901,725,1129
1031,6971211,,0,18
1032,17295781,,0,91
1033,10338541,,0,21
1034,22105921,,0,27
1035,30302738,,0,17
1036,12577675,,0,23
1037,13116809,,0,36
1038,33963617,,0,23
1039,22520585,,0,72
1040,30898209,,0,184
1041,14118412,,0,51
1042,5044637,,0,584
1043,38625543,121679013,658,130
1044,39402642,141821714,72,93
1045,22469903,,0,66
1046,20826936,,0,62
1047,13111418,,0,54
1048,4192791,101151873,26,20
1049,4192791,100904163,146,20
1050,4192791,101151093,18,20
1051,7458284,121993260,20,47
1052,39973159,101190898,10,20
1053,1577816,,0,21
1054,39906610,141992495,112,44
1055,40152607,,0,33
1056,35839094,122286408,20,28
1057,31678188,120190161,62,50
1058,39837175,122188929,60,25
1059,23275717,122323385,28,67
1060,29362514,101197883,25,140
1061,39772529,101087514,234,1632
1062,33648840,,0,21
1063,9691737,,0,38
1064,14000885,,0,307
1065,32896169,,0,1146
1066,28552523,,0,2176
1067,11756633,,0,22
1068,27895751,,0,27
1069,36083903,142047382,712,180
1070,40268843,,0,15
1071,11733634,,0,46
1072,3032761,,0,448
1073,29244643,,0,40
1074,7372952,,0,29
1075,7481516,,0,56
1076,18899025,,0,553
1077,1597618,,0,223
1078,12566542,,0,67
1079,37739215,101031567,240,93
1080,37739215,100864714,70,93
1081,19240733,,0,57
1082,26496564,,0,258
1083,4741327,,0,33
1084,29545172,,0,65
1085,33287627,,0,29
1086,22204239,,0,83
1087,35505951,140613962,149,65
1088,18445282,122177647,402,93
1089,38604445,141547005,154,293
1090,12587452,,0,17
1091,37911847,,0,47
1092,3944225,121704392,34,40
1093,38892159,121812654,138,198
1094,17191127,,0,26
1095,40177622,122312720,92,21
1096,39357985,121999737,170,84
1097,16974591,,0,72
1098,18729132,121598710,84,145
1099,40296460,,0,43
1100,39551592,122155577,244,28
1101,39251096,121959911,145,713
1102,5036832,121929355,396,18
1103,38316550,121540863,280,67
